entity_id,state,last_changed
sensor.air_quality_monitor_co2,1512.0,2026-08-23T01:25:00.000Z
sensor.air_quality_monitor_co2,1514.0,2026-08-23T01:25:20.278Z
sensor.air_quality_monitor_co2,unavailable,2026-08-23T01:25:52.452Z
sensor.air_quality_monitor_co2,1515.0,2026-08-23T01:25:52.546Z
sensor.air_quality_monitor_co2,1516.0,2026-08-23T01:25:55.312Z
sensor.air_quality_monitor_co2,1515.0,2026-08-23T01:26:05.310Z
sensor.air_quality_monitor_co2,1553.0,2026-08-23T01:36:14.066Z
sensor.air_quality_monitor_co2,1566.0,2026-08-23T01:36:18.782Z
sensor.air_quality_monitor_co2,1551.0,2026-08-23T01:36:23.782Z
sensor.air_quality_monitor_co2,1558.0,2026-08-23T01:36:28.784Z
sensor.air_quality_monitor_co2,1556.0,2026-08-23T01:36:33.793Z
sensor.air_quality_monitor_co2,unknown,2026-08-23T01:36:45.779Z
sensor.air_quality_monitor_co2,1549.0,2026-08-23T01:36:50.900Z
sensor.air_quality_monitor_co2,1551.0,2026-08-23T01:36:55.909Z
sensor.air_quality_monitor_co2,1547.0,2026-08-23T01:37:00.898Z
sensor.air_quality_monitor_co2,1558.0,2026-08-23T01:37:05.910Z
sensor.air_quality_monitor_co2,1554.0,2026-08-23T01:47:10.941Z
sensor.air_quality_monitor_co2,1577.0,2026-08-23T01:47:15.909Z
sensor.air_quality_monitor_co2,1572.0,2026-08-23T01:47:25.916Z
sensor.air_quality_monitor_co2,1573.0,2026-08-23T01:47:30.915Z
sensor.air_quality_monitor_co2,1582.0,2026-08-23T01:57:36.812Z
sensor.air_quality_monitor_co2,1594.0,2026-08-23T01:57:41.317Z
sensor.air_quality_monitor_co2,1600.0,2026-08-23T01:57:46.315Z
sensor.air_quality_monitor_co2,1604.0,2026-08-23T01:57:51.315Z
sensor.air_quality_monitor_co2,1590.0,2026-08-23T01:57:56.316Z
sensor.air_quality_monitor_co2,unknown,2026-08-23T02:08:02.132Z
sensor.air_quality_monitor_co2,1525.0,2026-08-23T02:08:03.060Z
sensor.air_quality_monitor_co2,1516.0,2026-08-23T02:08:08.059Z
sensor.air_quality_monitor_co2,1530.0,2026-08-23T02:08:13.060Z
sensor.air_quality_monitor_co2,1529.0,2026-08-23T02:08:18.060Z
sensor.air_quality_monitor_co2,1524.0,2026-08-23T02:08:23.060Z
sensor.air_quality_monitor_co2,unknown,2026-08-23T02:18:27.750Z
sensor.air_quality_monitor_co2,1265.0,2026-08-23T02:18:28.012Z
sensor.air_quality_monitor_co2,1281.0,2026-08-23T02:18:33.014Z
sensor.air_quality_monitor_co2,1283.0,2026-08-23T02:18:38.016Z
sensor.air_quality_monitor_co2,1294.0,2026-08-23T02:18:43.015Z
sensor.air_quality_monitor_co2,1295.0,2026-08-23T02:18:48.016Z
sensor.air_quality_monitor_co2,1142.0,2026-08-23T02:28:53.459Z
sensor.air_quality_monitor_co2,1157.0,2026-08-23T02:28:58.389Z
sensor.air_quality_monitor_co2,1155.0,2026-08-23T02:29:03.404Z
sensor.air_quality_monitor_co2,1152.0,2026-08-23T02:29:08.396Z
sensor.air_quality_monitor_co2,1160.0,2026-08-23T02:29:13.409Z
sensor.air_quality_monitor_co2,unknown,2026-08-23T02:39:19.034Z
sensor.air_quality_monitor_co2,1119.0,2026-08-23T02:39:23.174Z
sensor.air_quality_monitor_co2,1124.0,2026-08-23T02:39:28.175Z
sensor.air_quality_monitor_co2,1133.0,2026-08-23T02:39:33.174Z
sensor.air_quality_monitor_co2,1138.0,2026-08-23T02:39:38.172Z
sensor.air_quality_monitor_co2,unknown,2026-08-23T02:49:44.385Z
sensor.air_quality_monitor_co2,1112.0,2026-08-23T02:49:45.167Z
sensor.air_quality_monitor_co2,1152.0,2026-08-23T02:49:50.167Z
sensor.air_quality_monitor_co2,1160.0,2026-08-23T02:49:55.168Z
sensor.air_quality_monitor_co2,1165.0,2026-08-23T02:50:00.169Z
sensor.air_quality_monitor_co2,1163.0,2026-08-23T02:50:05.168Z
sensor.air_quality_monitor_co2,1186.0,2026-08-23T03:00:08.581Z
sensor.air_quality_monitor_co2,1180.0,2026-08-23T03:00:13.565Z
sensor.air_quality_monitor_co2,1178.0,2026-08-23T03:00:18.561Z
sensor.air_quality_monitor_co2,1181.0,2026-08-23T03:00:23.563Z
sensor.air_quality_monitor_co2,1184.0,2026-08-23T03:00:28.561Z
sensor.air_quality_monitor_co2,1167.0,2026-08-23T03:10:34.247Z
sensor.air_quality_monitor_co2,1187.0,2026-08-23T03:10:38.815Z
sensor.air_quality_monitor_co2,1192.0,2026-08-23T03:10:43.818Z
sensor.air_quality_monitor_co2,1197.0,2026-08-23T03:10:48.818Z
sensor.air_quality_monitor_co2,1198.0,2026-08-23T03:10:53.818Z
sensor.air_quality_monitor_co2,unknown,2026-08-23T03:20:59.665Z
sensor.air_quality_monitor_co2,1219.0,2026-08-23T03:21:03.634Z
sensor.air_quality_monitor_co2,1226.0,2026-08-23T03:21:08.644Z
sensor.air_quality_monitor_co2,1209.0,2026-08-23T03:21:18.633Z
sensor.air_quality_monitor_co2,1217.0,2026-08-23T03:31:24.700Z
sensor.air_quality_monitor_co2,1216.0,2026-08-23T03:31:29.148Z
sensor.air_quality_monitor_co2,1214.0,2026-08-23T03:31:34.150Z
sensor.air_quality_monitor_co2,1229.0,2026-08-23T03:31:39.151Z
sensor.air_quality_monitor_co2,1225.0,2026-08-23T03:31:44.152Z
sensor.air_quality_monitor_co2,unknown,2026-08-23T03:41:49.894Z
sensor.air_quality_monitor_co2,1244.0,2026-08-23T03:41:53.825Z
sensor.air_quality_monitor_co2,1237.0,2026-08-23T03:41:58.834Z
sensor.air_quality_monitor_co2,1240.0,2026-08-23T03:42:03.848Z
sensor.air_quality_monitor_co2,1249.0,2026-08-23T03:42:08.842Z
sensor.air_quality_monitor_co2,1268.0,2026-08-23T03:52:13.850Z
sensor.air_quality_monitor_co2,1269.0,2026-08-23T03:52:18.934Z
sensor.air_quality_monitor_co2,1270.0,2026-08-23T03:52:23.935Z
sensor.air_quality_monitor_co2,1273.0,2026-08-23T03:52:33.934Z
sensor.air_quality_monitor_co2,1293.0,2026-08-23T04:02:40.418Z
sensor.air_quality_monitor_co2,1278.0,2026-08-23T04:02:44.791Z
sensor.air_quality_monitor_co2,1281.0,2026-08-23T04:02:49.790Z
sensor.air_quality_monitor_co2,1270.0,2026-08-23T04:02:54.793Z
sensor.air_quality_monitor_co2,1271.0,2026-08-23T04:02:59.793Z
sensor.air_quality_monitor_co2,unknown,2026-08-23T04:13:04.523Z
sensor.air_quality_monitor_co2,1265.0,2026-08-23T04:13:04.872Z
sensor.air_quality_monitor_co2,1275.0,2026-08-23T04:13:09.874Z
sensor.air_quality_monitor_co2,1279.0,2026-08-23T04:13:14.876Z
sensor.air_quality_monitor_co2,1290.0,2026-08-23T04:13:19.874Z
sensor.air_quality_monitor_co2,1288.0,2026-08-23T04:13:24.875Z
sensor.air_quality_monitor_co2,unknown,2026-08-23T04:23:30.787Z
sensor.air_quality_monitor_co2,1315.0,2026-08-23T04:23:35.086Z
sensor.air_quality_monitor_co2,1293.0,2026-08-23T04:23:40.086Z
sensor.air_quality_monitor_co2,1301.0,2026-08-23T04:23:45.084Z
sensor.air_quality_monitor_co2,1306.0,2026-08-23T04:23:50.084Z
sensor.air_quality_monitor_co2,1284.0,2026-08-23T04:33:56.601Z
sensor.air_quality_monitor_co2,1309.0,2026-08-23T04:34:01.290Z
sensor.air_quality_monitor_co2,1310.0,2026-08-23T04:34:06.303Z
sensor.air_quality_monitor_co2,1306.0,2026-08-23T04:34:11.303Z
sensor.air_quality_monitor_co2,1313.0,2026-08-23T04:34:16.291Z
sensor.air_quality_monitor_co2,1295.0,2026-08-23T04:44:21.704Z
sensor.air_quality_monitor_co2,1313.0,2026-08-23T04:44:26.482Z
sensor.air_quality_monitor_co2,1321.0,2026-08-23T04:44:31.483Z
sensor.air_quality_monitor_co2,1313.0,2026-08-23T04:44:36.485Z
sensor.air_quality_monitor_co2,1310.0,2026-08-23T04:44:41.484Z
sensor.air_quality_monitor_co2,unknown,2026-08-23T04:54:47.811Z
sensor.air_quality_monitor_co2,1333.0,2026-08-23T04:54:51.815Z
sensor.air_quality_monitor_co2,1346.0,2026-08-23T04:54:56.818Z
sensor.air_quality_monitor_co2,1334.0,2026-08-23T04:55:01.819Z
sensor.air_quality_monitor_co2,1327.0,2026-08-23T04:55:06.818Z
sensor.air_quality_monitor_co2,1347.0,2026-08-23T05:05:13.709Z
sensor.air_quality_monitor_co2,1369.0,2026-08-23T05:05:18.066Z
sensor.air_quality_monitor_co2,1361.0,2026-08-23T05:05:23.066Z
sensor.air_quality_monitor_co2,1359.0,2026-08-23T05:05:28.068Z
sensor.air_quality_monitor_co2,1356.0,2026-08-23T05:05:33.068Z
sensor.air_quality_monitor_co2,1374.0,2026-08-23T05:15:39.800Z
sensor.air_quality_monitor_co2,1367.0,2026-08-23T05:15:44.892Z
sensor.air_quality_monitor_co2,1358.0,2026-08-23T05:15:49.894Z
sensor.air_quality_monitor_co2,1353.0,2026-08-23T05:15:54.893Z
sensor.air_quality_monitor_co2,1370.0,2026-08-23T05:15:59.899Z
sensor.air_quality_monitor_co2,unknown,2026-08-23T05:26:04.920Z
sensor.air_quality_monitor_co2,1357.0,2026-08-23T05:26:08.748Z
sensor.air_quality_monitor_co2,1350.0,2026-08-23T05:26:13.755Z
sensor.air_quality_monitor_co2,1356.0,2026-08-23T05:26:18.770Z
sensor.air_quality_monitor_co2,1362.0,2026-08-23T05:26:23.771Z
